precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
HARRISONBILOXI 27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLMESBEAT 4 TCHULA,462.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,24.0
KELLIS STOREKEMPER,58.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
LOWNDESCOLUMBUS CHRISTIAN ACADEMY,92.0,0.0,0.0,16.0,0.0,1.0,3.0,0.0,93.0,0.0,0.0,1.0,17.0,0.0,0.0,13.0,0.0,111.0
LOWNDESCOLUMBUS HIGH SCHOOL,370.0,1.0,0.0,75.0,0.0,1.0,2.0,1.0,168.0,0.0,0.0,2.0,35.0,0.0,0.0,24.0,0.0,198.0
LYNVILLEKEMPER,45.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,0.0,49.0
LYNWOODKEMPER,33.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,57.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,71.0
MARIONBELLE HILL,55.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,1.0,3.0,3.0,1.0,8.0,0.0,135.0
MARIONCOSE,27.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,0.0,112.0
MARIONWHITE BLUFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0
MOUNT NEBOKEMPER,85.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,21.0
PANOLAEAST SARDIS,20.0,0.0,0.0,10.0,0.0,2.0,7.0,0.0,50.0,0.0,0.0,1.0,5.0,0.0,0.0,9.0,0.0,97.0
PANOLAWEST SARDIS,246.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,12.0
PORTERVILLEKEMPER,117.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,31.0
PRESTONKEMPER,99.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,41.0
SATELLITEKEMPER,115.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,75.0
SCOOBA A-LKEMPER,82.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,29.0
SCOOBA M-ZKEMPER,76.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,32.0
STONE +F120MAGNOLIA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIONNAN,598.0,2.0,9.0,223.0,12.0,19.0,93.0,4.0,2125.0,2.0,6.0,31.0,320.0,2.0,8.0,242.0,6.0,2172.0
YAZOO3-1 WEST,124.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAZOO3-2 WEST,184.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,29.0
YAZOO3-4 SOUTH,91.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,61.0
YAZOOWARD 2,79.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,57.0,0.0,0.0,0.0,29.0,0.0,0.0,17.0,0.0,71.0
YAZOOWARD 4,382.0,1.0,1.0,31.0,0.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,29.0,0.0,0.0,21.0,0.0,101.0
YAZOOWARD 5,507.0,0.0,2.0,23.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
