precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
OAKLANDMILFORD 3,94,0,0,115,0,6,1,112,3,0,0,158,1,1,57,1,236
OAKLANDMILFORD 4,120,0,1,202,8,9,1,157,0,0,1,231,0,1,64,1,320
OAKLANDMILFORD 5,26,0,0,78,2,0,0,23,0,0,0,32,1,1,14,0,50
OAKLANDMILFORD 6,66,0,0,117,0,4,0,68,0,0,0,115,0,3,35,1,133
OAKLANDMILFORD 7,97,0,1,171,0,9,1,113,0,0,2,156,0,0,55,0,191
OAKLANDMILFORD 8,82,1,0,119,4,5,2,64,0,0,1,116,0,1,43,0,117
OAKLANDNORTHVILLE 2,250,1,2,220,6,10,4,142,2,0,1,294,0,1,69,1,235
OAKLANDNOVI 1,161,0,0,159,5,2,0,96,0,0,0,202,0,1,47,0,191
OAKLANDNOVI 10,154,1,2,46,11,10,3,51,1,1,1,226,0,0,42,1,92
OAKLANDNOVI 11,119,0,0,147,1,2,0,52,0,0,1,111,0,0,17,0,136
OAKLANDNOVI 12,206,0,1,302,2,1,0,57,0,0,0,74,0,1,40,1,101
OAKLANDNOVI 13,109,0,0,83,1,1,0,40,0,0,1,65,0,1,13,0,88
OAKLANDNOVI 14,107,0,0,114,2,2,0,47,0,0,0,156,0,0,23,0,104
OAKLANDNOVI 15,132,0,0,141,2,3,2,92,0,0,0,209,0,1,51,0,154
OAKLANDNOVI 16,134,0,0,176,3,8,0,101,0,0,0,243,0,1,66,2,165
OAKLANDNOVI 17,146,1,0,131,0,1,2,138,1,0,0,297,0,0,64,1,133
OAKLANDNOVI 18,143,0,0,164,1,7,3,96,1,0,1,264,0,0,52,1,229
OAKLANDNOVI 19,69,0,1,56,0,0,0,52,0,0,0,121,0,1,20,0,135
OAKLANDNOVI 2,195,1,0,171,6,3,1,92,1,0,0,238,0,2,66,0,189
OAKLANDNOVI 20,67,0,0,100,3,2,0,74,0,0,1,164,0,0,38,0,132
OAKLANDNOVI 21,90,0,0,55,1,1,0,54,0,0,0,154,0,1,40,0,135
OAKLANDNOVI 22,106,1,2,108,5,2,1,48,0,0,0,52,0,0,17,0,52
OAKLANDNOVI 3,201,0,1,177,2,5,0,75,0,0,1,93,0,0,31,0,118
OAKLANDNOVI 4,203,0,0,164,4,4,2,57,0,1,0,148,0,0,51,0,150
OAKLANDNOVI 5,139,0,0,147,0,2,2,50,0,0,0,101,0,0,10,2,98
OAKLANDNOVI 6,171,0,1,152,9,10,0,70,0,0,0,131,0,2,45,0,137
OAKLANDNOVI 7,147,0,0,132,1,6,1,44,0,0,0,78,0,0,24,0,115
OAKLANDNOVI 8,170,0,0,101,4,5,2,61,0,0,1,113,1,0,37,0,110
OAKLANDNOVI 9,281,0,0,179,2,5,0,73,0,0,0,159,0,0,49,1,189
OAKLANDNOVI TWP 1,13,0,0,13,0,0,0,8,0,0,0,21,0,0,7,0,11
OAKLANDOAK PARK 1,125,0,1,71,0,1,0,17,0,0,1,14,0,0,4,0,17
OAKLANDOAK PARK 10,505,2,1,154,0,3,0,9,0,0,1,6,0,0,3,0,10
OAKLANDOAK PARK 11,211,0,0,135,0,2,0,8,0,0,0,5,0,0,6,0,15
OAKLANDOAK PARK 12,470,1,0,199,0,3,0,6,0,0,0,16,0,0,5,0,11
OAKLANDOAK PARK 13,419,0,0,194,0,3,0,3,0,0,0,15,0,0,6,0,14
OAKLANDOAK PARK 14,203,1,1,261,0,3,1,17,0,0,0,29,0,0,4,0,32
OAKLANDOAK PARK 15,239,1,0,208,1,1,0,18,0,0,0,20,0,0,3,0,9
OAKLANDOAK PARK 16,151,0,0,279,2,4,0,34,0,1,0,35,0,0,19,1,37
OAKLANDOAK PARK 2,157,0,1,184,0,2,0,76,0,0,0,86,0,0,43,0,56
OAKLANDOAK PARK 3,181,0,0,217,0,0,2,54,0,0,0,85,1,0,41,0,60
OAKLANDOAK PARK 4,140,1,0,63,0,2,0,69,1,0,0,27,0,0,28,0,32
OAKLANDOAK PARK 5,204,0,1,130,0,2,0,14,0,0,0,5,0,0,4,0,7
OAKLANDOAK PARK 6,353,0,1,138,1,2,2,36,0,0,1,22,0,0,15,0,20
OAKLANDOAK PARK 7,347,0,0,151,0,1,0,8,1,0,0,9,0,0,4,0,14
OAKLANDOAK PARK 8,434,0,0,157,0,1,0,10,0,0,0,6,0,0,7,0,7
OAKLANDOAK PARK 9,408,0,1,149,0,1,0,6,0,0,2,0,0,0,0,0,9
OAKLANDOAKLAND 1,99,0,0,115,1,7,3,124,0,0,0,217,0,0,74,1,208
OAKLANDOAKLAND 2,100,0,0,173,5,7,1,124,2,0,1,123,0,3,41,1,222
OAKLANDOAKLAND 3,42,0,0,75,0,4,0,56,0,0,0,90,0,1,28,0,122
OAKLANDOAKLAND 4,83,0,0,83,5,5,1,83,2,0,0,188,0,0,55,2,230
OAKLANDOAKLAND 5,103,0,2,127,1,4,0,92,0,0,0,238,0,1,39,0,159
OAKLANDOAKLAND 6,74,0,0,123,1,3,0,117,0,0,1,198,0,1,49,0,234
OAKLANDOAKLAND 7,113,0,0,71,7,2,2,100,1,0,1,231,0,0,69,0,292
OAKLANDOAKLAND 8,96,0,0,84,1,6,2,90,0,0,2,157,0,2,37,0,173
OAKLANDORCHARD LAKE 1,143,0,0,96,7,4,0,66,0,0,1,208,1,2,47,0,239
OAKLANDORION 1,50,0,0,198,4,5,1,94,2,0,1,136,0,1,40,1,189
OAKLANDORION 10,84,1,2,145,2,10,1,98,1,0,0,173,0,1,58,0,163
OAKLANDORION 11,86,0,0,111,1,3,0,62,0,0,0,98,0,0,25,0,128
OAKLANDORION 12,102,0,1,175,1,3,2,88,0,0,1,145,0,1,38,0,186
OAKLANDORION 13,95,0,0,166,5,9,1,105,1,0,2,159,0,4,44,0,192
OAKLANDORION 14,80,0,0,91,2,2,1,85,1,0,0,148,1,1,20,0,107
OAKLANDORION 15,82,0,0,88,1,3,0,74,0,1,1,97,0,0,29,0,111
OAKLANDORION 2,119,1,0,195,2,12,0,93,0,0,2,144,0,2,43,1,218
OAKLANDORION 3,94,0,1,135,1,4,2,89,3,0,0,171,0,0,68,0,267
OAKLANDORION 4,84,1,1,149,2,6,0,112,0,0,1,165,1,1,73,1,266
OAKLANDORION 5,100,0,0,180,4,7,0,102,0,0,0,242,0,6,60,0,237
OAKLANDORION 6,100,0,0,116,2,8,3,95,0,0,0,229,1,1,76,0,199
OAKLANDORION 7,147,0,0,189,1,13,0,63,1,0,0,111,1,3,40,1,164
OAKLANDORION 8,72,0,3,84,3,4,2,76,1,0,0,120,0,0,52,0,141
OAKLANDORION 9,119,0,0,152,3,11,0,94,0,0,3,162,1,0,41,1,146
OAKLANDOXFORD 1,133,0,1,215,3,10,1,137,1,0,2,146,0,1,63,1,248
OAKLANDOXFORD 2,72,0,0,106,3,6,1,82,1,0,0,75,0,0,30,0,160
OAKLANDOXFORD 3,142,0,0,143,5,12,0,161,1,0,1,204,0,2,67,1,273
OAKLANDOXFORD 4,103,0,2,144,5,6,1,151,1,0,1,188,0,1,77,1,253
OAKLANDOXFORD 5,82,0,1,120,0,3,0,71,0,0,0,77,0,2,19,3,148
OAKLANDOXFORD 6,84,0,0,135,3,14,0,146,0,0,0,139,0,1,43,1,257
OAKLANDOXFORD 7,100,1,2,138,6,7,2,113,1,0,3,168,0,0,43,0,214
OAKLANDPLEASANT RIDGE 1,197,0,0,216,2,1,1,29,0,0,0,109,0,0,22,0,48
OAKLANDPLEASANT RIDGE 2,193,0,0,234,0,0,0,25,0,0,0,111,0,0,13,1,47
OAKLANDPONTIAC 1,611,0,0,166,0,0,0,3,0,0,0,4,0,0,1,0,7
OAKLANDPONTIAC 10,44,1,0,32,1,1,0,11,0,0,0,5,0,0,0,0,14
OAKLANDPONTIAC 11,274,0,3,230,1,8,0,51,0,1,3,25,1,2,18,1,85
OAKLANDPONTIAC 12,214,0,1,141,2,2,0,42,0,0,0,14,0,0,18,0,77
OAKLANDPONTIAC 13,266,0,0,160,2,0,0,40,0,0,0,27,0,0,11,0,63
OAKLANDPONTIAC 14,185,1,1,128,1,3,0,13,1,1,0,9,0,0,5,0,12
OAKLANDPONTIAC 15,509,0,0,176,1,1,0,11,0,0,0,10,0,0,1,0,17
OAKLANDPONTIAC 16,448,0,1,167,2,2,0,9,0,0,0,13,0,0,6,0,15
OAKLANDPONTIAC 17,220,1,0,120,0,3,0,18,1,0,0,11,0,0,6,0,36
OAKLANDPONTIAC 18,136,1,0,57,0,0,0,4,0,0,0,3,0,0,2,0,17
OAKLANDPONTIAC 19,395,5,2,127,1,1,0,0,0,0,0,2,0,0,2,0,7
OAKLANDPONTIAC 2,256,0,0,116,0,3,0,9,0,0,0,10,0,1,5,0,23
OAKLANDPONTIAC 20,473,0,0,135,2,3,0,7,1,0,0,1,0,0,1,0,8
OAKLANDPONTIAC 21,463,0,1,155,1,5,0,8,0,1,0,3,0,0,2,0,18
OAKLANDPONTIAC 3,484,0,2,187,0,0,0,9,0,0,0,12,0,0,9,0,16
OAKLANDPONTIAC 4,191,0,0,161,2,3,0,27,0,0,0,27,0,0,9,0,56
OAKLANDPONTIAC 5,281,1,0,160,0,1,0,35,0,0,0,34,0,0,14,0,35
OAKLANDPONTIAC 6,305,1,3,190,0,0,0,15,0,0,1,16,0,1,8,0,23
OAKLANDPONTIAC 7,103,0,0,39,0,2,0,9,0,0,0,0,0,0,4,0,14
OAKLANDPONTIAC 8,186,1,0,142,0,5,0,23,0,0,0,10,0,2,7,0,52
OAKLANDPONTIAC 9,167,0,0,73,0,1,0,6,0,1,0,5,0,0,4,0,19
OAKLANDROCHESTER 1,136,0,2,197,3,4,2,66,0,0,1,144,0,1,41,2,134
OAKLANDROCHESTER 2,151,0,1,235,4,4,1,73,2,0,1,179,0,2,62,0,222
OAKLANDROCHESTER 3,85,0,0,154,0,5,0,44,1,0,0,114,0,1,31,1,116
OAKLANDROCHESTER 4,90,0,0,63,0,2,0,42,0,0,1,125,0,0,33,0,124
OAKLANDROCHESTER 5,162,0,0,138,9,3,5,133,0,0,0,388,1,1,114,0,292
OAKLANDROCHESTER HILLS 1,185,0,0,188,7,6,3,102,0,0,0,180,0,0,56,1,164
OAKLANDROCHESTER HILLS 10,117,0,0,118,2,3,1,84,1,0,0,213,0,2,48,2,125
OAKLANDROCHESTER HILLS 11,98,1,3,137,3,5,1,65,0,0,2,59,0,0,26,0,100
OAKLANDROCHESTER HILLS 12,136,2,0,157,3,11,2,106,0,0,0,179,0,1,64,1,224
OAKLANDROCHESTER HILLS 13,89,0,1,97,2,1,0,61,0,0,1,99,1,2,26,0,126
OAKLANDROCHESTER HILLS 14,169,0,0,121,4,9,2,84,1,0,1,189,0,1,56,0,259
OAKLANDROCHESTER HILLS 15,82,0,1,121,2,6,2,44,0,0,0,60,0,1,26,0,105
OAKLANDROCHESTER HILLS 16,144,1,0,176,3,5,1,114,0,0,1,106,0,0,39,0,168
OAKLANDROCHESTER HILLS 17,214,2,0,182,9,12,2,120,1,0,0,226,0,2,82,0,204
OAKLANDROCHESTER HILLS 18,93,0,0,91,7,5,2,72,3,0,0,163,0,0,55,0,169
OAKLANDROCHESTER HILLS 19,100,0,1,92,6,6,2,86,3,0,0,200,0,4,58,0,130
OAKLANDROCHESTER HILLS 2,84,0,0,103,4,3,1,26,0,0,0,47,0,1,15,1,73
OAKLANDROCHESTER HILLS 20,114,0,0,108,1,2,1,50,2,1,0,103,0,0,32,0,81
OAKLANDROCHESTER HILLS 21,89,0,1,86,4,7,0,76,2,0,0,202,0,1,43,0,198
OAKLANDROCHESTER HILLS 22,120,0,1,121,4,4,0,62,1,2,0,150,0,0,45,0,120
OAKLANDROCHESTER HILLS 23,103,0,0,86,0,1,2,56,0,0,1,139,0,0,31,0,110
OAKLANDROCHESTER HILLS 24,155,0,0,132,6,8,2,77,1,0,2,112,0,1,65,1,182
OAKLANDROCHESTER HILLS 25,128,1,0,120,3,10,2,134,0,0,0,267,0,1,52,0,188
OAKLANDROCHESTER HILLS 26,160,0,0,127,5,11,3,109,1,0,0,337,1,1,98,1,263
OAKLANDROCHESTER HILLS 27,151,0,0,109,3,3,2,57,3,0,0,164,0,0,33,1,130
OAKLANDROCHESTER HILLS 28,187,0,1,188,3,2,0,51,1,0,1,71,0,1,28,2,120
OAKLANDROCHESTER HILLS 29,78,0,0,59,3,3,1,48,0,0,0,94,0,0,32,0,104
OAKLANDROCHESTER HILLS 3,69,0,1,141,2,3,2,62,0,0,2,96,0,0,30,0,129
OAKLANDROCHESTER HILLS 30,167,1,0,214,4,5,1,96,0,0,1,155,0,4,49,0,174
OAKLANDROCHESTER HILLS 31,88,0,1,55,3,2,1,53,1,0,0,97,0,1,30,0,121
OAKLANDROCHESTER HILLS 32,140,0,1,131,5,8,3,96,0,0,0,147,0,1,40,0,152
OAKLANDROCHESTER HILLS 4,96,0,0,117,7,9,0,54,0,0,1,78,0,0,29,0,123
OAKLANDROCHESTER HILLS 5,116,0,1,152,1,5,2,90,0,0,1,104,0,4,55,0,222
OAKLANDROCHESTER HILLS 6,205,0,0,167,13,10,2,92,0,1,0,141,0,3,47,0,247
OAKLANDROCHESTER HILLS 7,83,0,0,97,1,7,2,68,0,0,0,104,0,1,36,0,98
OAKLANDROCHESTER HILLS 8,57,0,0,72,1,3,2,68,2,1,2,147,0,1,33,0,127
OAKLANDROCHESTER HILLS 9,192,0,1,206,8,13,2,101,4,0,3,282,0,0,84,1,222
OAKLANDROSE 1,49,0,2,103,1,7,0,66,0,0,0,84,0,1,15,0,155
OAKLANDROSE 2,81,0,0,122,1,6,0,87,0,1,1,95,0,1,43,0,188
OAKLANDROSE 3,65,0,3,152,4,7,0,113,0,0,0,107,0,1,44,0,210
OAKLANDROYAL OAK 1,225,1,0,276,0,2,0,37,1,0,0,141,0,3,33,1,81
OAKLANDROYAL OAK 10,162,0,0,286,0,7,1,66,0,0,1,144,0,1,38,1,129
OAKLANDROYAL OAK 11,140,0,0,260,2,6,1,51,2,0,0,97,0,2,32,0,81
OAKLANDROYAL OAK 12,131,0,0,234,3,2,1,51,0,0,0,131,0,0,33,0,137
OAKLANDROYAL OAK 13,212,0,0,280,3,4,0,62,0,0,0,153,0,1,56,0,133
OAKLANDROYAL OAK 14,166,1,0,190,5,3,0,64,0,0,0,240,0,3,45,1,108
OAKLANDROYAL OAK 15,126,2,0,208,2,2,0,48,0,0,0,70,0,3,21,0,69
OAKLANDROYAL OAK 16,290,1,2,309,15,10,0,93,2,0,1,209,0,2,64,0,184
OAKLANDROYAL OAK 17,162,0,1,278,2,5,3,69,2,1,0,164,0,0,34,1,114
OAKLANDROYAL OAK 18,164,0,0,286,1,6,0,50,0,0,1,143,0,3,29,0,116
OAKLANDROYAL OAK 19,207,0,0,419,4,8,0,98,2,0,0,191,0,8,48,0,177
OAKLANDROYAL OAK 2,143,0,1,351,1,3,1,67,1,0,3,146,0,0,38,0,123
OAKLANDROYAL OAK 20,194,0,2,266,8,7,0,65,0,0,0,165,0,2,49,0,134
OAKLANDROYAL OAK 21,243,1,1,251,4,3,0,50,1,0,2,92,0,1,39,1,126
OAKLANDROYAL OAK 22,236,0,2,247,2,9,3,84,2,0,1,188,0,2,50,1,147
OAKLANDROYAL OAK 23,167,0,0,226,2,2,0,55,0,0,0,121,0,1,34,2,110
OAKLANDROYAL OAK 24,100,0,0,147,3,0,0,28,3,0,0,71,1,1,23,0,67
OAKLANDROYAL OAK 3,123,0,1,218,2,3,0,40,0,0,0,93,0,3,25,0,93
OAKLANDROYAL OAK 4,147,0,0,276,0,2,0,45,0,0,0,113,0,0,24,0,88
OAKLANDROYAL OAK 5,159,0,0,198,0,2,0,40,0,0,0,84,0,0,23,0,55
OAKLANDROYAL OAK 6,286,0,1,430,0,4,1,56,0,0,0,164,0,1,40,0,134
OAKLANDROYAL OAK 7,180,0,1,245,5,6,1,52,1,0,1,75,0,2,24,0,93
OAKLANDROYAL OAK 8,219,0,1,303,4,7,2,104,1,0,1,244,0,0,58,1,150
OAKLANDROYAL OAK 9,257,1,4,430,1,4,1,57,0,0,0,171,0,1,64,1,113
OAKLANDROYAL OAK TWP 1,257,0,0,97,0,1,0,0,0,0,0,2,0,0,0,0,0
OAKLANDROYAL OAK TWP 2,263,0,1,96,0,1,0,2,0,0,0,0,0,0,2,0,1
OAKLANDSOUTH LYON 1,233,1,0,193,5,18,5,126,0,0,0,200,0,2,70,0,271
OAKLANDSOUTH LYON 2,109,1,0,186,3,12,2,114,0,1,0,126,1,2,42,0,148
OAKLANDSOUTH LYON 3,119,0,0,139,5,4,1,112,1,0,0,168,1,0,42,0,170
OAKLANDSOUTH LYON 4,60,0,1,126,0,2,0,68,0,0,0,86,0,0,26,0,90
OAKLANDSOUTHFIELD 1,490,0,2,161,3,5,0,11,0,0,0,21,0,0,9,1,31
OAKLANDSOUTHFIELD 10,430,0,0,173,2,0,0,21,0,0,0,23,0,0,6,0,35
OAKLANDSOUTHFIELD 11,479,0,0,183,1,0,0,11,0,0,0,24,0,1,9,0,20
OAKLANDSOUTHFIELD 12,464,0,1,170,2,5,0,13,0,0,0,11,0,0,5,0,22
OAKLANDSOUTHFIELD 13,443,0,1,126,0,4,0,36,0,0,0,24,0,1,23,0,25
OAKLANDSOUTHFIELD 14,236,0,0,93,0,3,0,60,0,1,0,41,0,0,28,0,40
OAKLANDSOUTHFIELD 15,322,1,0,147,1,2,0,18,0,0,0,16,0,1,3,0,21
OAKLANDSOUTHFIELD 16,479,1,0,170,0,0,0,9,0,0,0,11,0,0,12,0,14
OAKLANDSOUTHFIELD 17,454,0,0,175,0,3,1,25,0,0,0,16,0,0,8,0,18
OAKLANDSOUTHFIELD 18,459,0,0,202,2,2,0,4,0,0,1,5,0,0,8,0,10
OAKLANDSOUTHFIELD 19,318,0,1,134,1,5,0,7,0,0,0,17,0,0,1,0,29
OAKLANDSOUTHFIELD 2,411,1,0,272,1,2,1,35,1,0,1,95,0,1,23,0,74
OAKLANDSOUTHFIELD 20,547,0,0,200,1,0,0,9,0,0,0,14,0,0,4,0,20
OAKLANDSOUTHFIELD 21,627,1,0,203,0,4,0,4,0,0,0,12,0,0,6,0,12
OAKLANDSOUTHFIELD 22,667,1,1,174,1,3,0,6,0,0,0,13,0,1,1,0,9
OAKLANDSOUTHFIELD 23,504,1,0,204,0,3,1,24,0,0,0,16,0,0,10,0,17
OAKLANDSOUTHFIELD 24,391,0,0,192,1,2,0,13,0,0,0,15,0,0,6,0,16
OAKLANDSOUTHFIELD 25,462,0,1,125,1,3,0,8,0,0,0,26,0,0,7,0,19
OAKLANDSOUTHFIELD 26,483,0,1,145,4,2,0,16,2,1,1,49,1,0,28,0,39
OAKLANDSOUTHFIELD 27,371,0,0,148,0,2,0,6,0,0,1,9,0,0,6,0,4
OAKLANDSOUTHFIELD 28,286,0,0,150,1,3,0,6,0,0,0,6,0,0,11,0,4
OAKLANDSOUTHFIELD 29,555,0,0,249,0,2,0,27,0,0,0,35,0,2,10,0,33
OAKLANDSOUTHFIELD 3,342,0,0,206,1,3,0,9,1,0,0,29,0,0,13,0,35
OAKLANDSOUTHFIELD 30,521,0,0,203,2,4,1,20,0,1,0,27,0,1,7,1,38
OAKLANDSOUTHFIELD 31,470,0,3,183,2,0,1,9,0,0,0,7,0,1,4,1,20
OAKLANDSOUTHFIELD 32,356,0,0,144,2,3,0,18,0,0,0,25,0,1,10,0,37
OAKLANDSOUTHFIELD 33,561,1,1,219,1,4,0,9,0,0,0,17,0,0,8,0,20
OAKLANDSOUTHFIELD 34,246,1,0,157,2,4,1,28,0,0,1,22,0,0,9,1,47
OAKLANDSOUTHFIELD 35,286,0,0,139,1,1,0,13,1,0,0,15,0,0,4,1,21
OAKLANDSOUTHFIELD 36,250,0,0,146,0,4,1,13,0,0,0,18,0,0,10,0,24
OAKLANDSOUTHFIELD 4,447,0,1,203,2,2,0,13,0,0,0,34,0,0,5,0,25
OAKLANDSOUTHFIELD 5,194,0,0,172,2,0,0,32,0,0,0,31,0,0,23,0,39
OAKLANDSOUTHFIELD 6,391,0,0,175,0,4,0,19,0,0,0,23,0,0,32,0,31
OAKLANDSOUTHFIELD 7,482,1,0,198,0,2,0,14,0,0,0,19,0,0,9,0,15
OAKLANDSOUTHFIELD 8,364,1,0,152,1,2,0,7,0,0,0,19,0,0,9,0,12
OAKLANDSOUTHFIELD 9,260,1,0,209,0,0,0,30,0,0,0,16,0,0,10,0,40
OAKLANDSOUTHFIELD TWP 1,94,0,0,103,3,3,1,30,0,0,1,84,0,0,24,0,52
OAKLANDSOUTHFIELD TWP 10,141,0,0,69,5,2,1,35,0,0,0,119,0,0,43,0,89
OAKLANDSOUTHFIELD TWP 2,129,0,0,127,3,1,0,39,0,0,0,110,0,0,21,0,78
OAKLANDSOUTHFIELD TWP 3,96,0,0,91,3,1,1,48,0,0,1,94,1,0,28,0,55
OAKLANDSOUTHFIELD TWP 4,134,0,0,95,8,1,2,43,3,0,0,243,0,1,40,0,94
OAKLANDSOUTHFIELD TWP 5,209,0,0,153,5,3,1,51,1,0,0,148,1,2,33,0,68
OAKLANDSOUTHFIELD TWP 6,229,0,2,169,12,4,3,78,1,0,2,289,0,0,72,1,147
OAKLANDSOUTHFIELD TWP 7,109,1,1,100,5,2,3,50,0,0,0,145,0,0,29,0,100
OAKLANDSOUTHFIELD TWP 8,201,0,1,102,2,0,0,30,0,0,0,180,1,2,39,0,135
OAKLANDSOUTHFIELD TWP 9,141,0,0,100,3,0,0,40,2,0,0,123,0,1,37,0,86
OAKLANDSPRINGFIELD 1,70,0,0,112,0,7,0,88,0,0,0,142,0,4,42,0,204
OAKLANDSPRINGFIELD 2,84,0,0,131,1,5,0,91,0,0,0,80,0,0,28,2,160
OAKLANDSPRINGFIELD 3,98,0,2,137,2,6,2,131,0,0,1,130,0,1,41,0,254
OAKLANDSPRINGFIELD 4,98,0,3,105,4,4,1,55,1,0,1,104,0,2,29,2,160
OAKLANDSPRINGFIELD 5,76,0,1,81,0,6,0,135,1,0,1,185,1,1,53,0,180
OAKLANDSPRINGFIELD 6,83,0,0,152,2,5,1,97,0,0,1,162,0,0,46,0,204
OAKLANDSPRINGFIELD 7,40,0,0,65,3,5,1,67,0,1,2,76,0,1,20,1,116
OAKLANDSYLVAN LAKE 1,152,0,2,168,5,10,3,48,1,0,0,146,1,0,31,1,179
OAKLANDTROY 1,84,0,0,81,0,2,1,53,0,0,1,82,0,1,27,2,114
OAKLANDTROY 10,165,0,1,148,3,5,0,104,1,0,0,185,0,0,48,0,175
OAKLANDTROY 11,164,0,1,142,5,5,2,98,0,0,0,181,0,0,75,0,198
OAKLANDTROY 12,92,0,0,118,4,5,3,77,0,0,0,165,0,0,34,1,112
OAKLANDTROY 13,249,0,0,254,3,10,0,173,0,0,0,217,0,0,72,0,221
OAKLANDTROY 14,138,0,0,163,2,6,2,109,2,0,1,175,0,1,50,0,159
OAKLANDTROY 15,150,0,0,161,0,3,0,94,1,0,0,177,0,0,68,0,167
OAKLANDTROY 16,132,0,0,125,5,2,0,61,1,0,2,139,0,0,39,0,130
OAKLANDTROY 17,175,1,0,115,7,9,1,76,0,0,0,214,0,1,59,0,182
OAKLANDTROY 18,102,0,0,109,1,3,0,81,0,0,0,214,0,0,47,1,175
OAKLANDTROY 19,145,0,0,104,1,5,2,79,1,0,0,213,0,1,64,0,134
OAKLANDTROY 2,173,0,0,170,5,9,2,108,1,1,0,190,0,1,59,0,215
OAKLANDTROY 20,190,0,0,157,9,5,2,101,1,0,1,212,0,0,53,1,226
OAKLANDTROY 21,109,0,0,125,0,2,1,71,0,0,0,96,1,0,27,0,104
OAKLANDTROY 22,203,0,0,251,5,3,0,100,2,0,1,212,0,3,61,1,193
OAKLANDTROY 23,193,0,0,196,4,6,1,117,0,0,0,150,0,0,45,1,222
OAKLANDTROY 24,174,1,2,157,3,4,3,122,0,0,0,130,0,0,41,0,204
OAKLANDTROY 25,202,0,0,155,4,6,3,100,0,1,1,101,1,0,48,2,151
OAKLANDTROY 26,131,0,1,204,2,9,0,52,0,1,0,79,0,3,32,0,159
OAKLANDTROY 27,157,0,0,167,2,5,1,49,0,0,1,45,0,1,18,0,93
OAKLANDTROY 28,163,0,2,149,3,2,0,37,1,0,1,85,0,0,19,0,94
OAKLANDTROY 29,184,0,0,209,5,4,4,98,0,0,0,318,0,1,69,0,195
OAKLANDTROY 3,113,0,0,141,2,3,2,97,0,0,1,148,0,1,40,0,189
OAKLANDTROY 30,33,0,0,65,0,2,0,23,0,0,0,35,0,2,16,0,51
OAKLANDTROY 31,42,0,0,46,3,0,0,34,0,0,0,84,0,2,22,0,77
OAKLANDTROY 4,205,1,2,188,0,3,0,110,0,0,0,238,0,2,74,0,256
OAKLANDTROY 5,93,0,0,100,5,4,1,64,0,0,0,187,2,0,45,0,183
OAKLANDTROY 6,44,0,0,36,2,2,1,27,0,0,0,65,0,1,15,0,69
OAKLANDTROY 7,118,0,0,88,6,5,5,48,3,0,0,221,1,1,46,0,141
OAKLANDTROY 8,186,0,0,178,3,6,1,51,2,0,0,190,0,0,55,2,146
OAKLANDTROY 9,163,1,1,199,5,5,1,130,1,0,0,183,1,0,57,1,200
OAKLANDW. BLOOMFIELD 1,316,0,1,159,5,4,4,70,3,0,0,174,0,1,55,0,169
OAKLANDW. BLOOMFIELD 10,277,0,1,211,1,3,1,56,0,0,0,223,0,0,41,0,212
OAKLANDW. BLOOMFIELD 11,363,2,0,202,1,3,2,54,1,0,1,118,0,0,47,0,120
OAKLANDW. BLOOMFIELD 12,452,0,0,189,2,1,4,38,1,0,0,71,0,1,40,0,116
OAKLANDW. BLOOMFIELD 13,281,0,0,188,4,3,0,64,0,0,0,221,0,0,60,0,126
OAKLANDW. BLOOMFIELD 14,112,0,1,144,4,4,2,73,0,1,0,91,0,0,38,1,159
OAKLANDW. BLOOMFIELD 15,404,1,0,219,7,12,4,51,1,0,0,154,0,0,62,0,190
OAKLANDW. BLOOMFIELD 16,264,0,0,175,5,0,3,60,0,0,0,214,0,0,71,0,240
OAKLANDW. BLOOMFIELD 17,343,0,0,147,5,3,0,34,2,1,2,197,0,0,76,0,157
OAKLANDW. BLOOMFIELD 18,199,0,1,121,3,0,4,55,0,0,0,134,1,0,55,0,148
OAKLANDW. BLOOMFIELD 19,418,0,0,152,1,1,0,32,0,0,0,94,1,1,44,1,104
OAKLANDW. BLOOMFIELD 2,154,0,0,217,4,8,2,79,0,0,1,138,0,0,37,1,192
OAKLANDW. BLOOMFIELD 20,213,0,0,131,2,1,0,31,1,0,0,91,0,0,23,0,82
OAKLANDW. BLOOMFIELD 21,249,1,0,125,0,2,0,30,0,0,0,76,1,0,29,0,84
OAKLANDW. BLOOMFIELD 22,344,0,1,167,0,4,2,47,1,0,1,109,0,0,50,0,138
OAKLANDW. BLOOMFIELD 23,390,1,2,153,5,1,2,38,1,0,2,118,0,1,65,1,149
OAKLANDW. BLOOMFIELD 24,221,1,1,112,1,1,0,30,0,0,2,76,0,0,19,0,98
OAKLANDW. BLOOMFIELD 25,210,0,0,179,1,5,2,79,0,0,0,189,0,1,65,0,184
OAKLANDW. BLOOMFIELD 3,113,0,1,116,5,5,0,45,0,0,1,62,0,0,24,0,131
OAKLANDW. BLOOMFIELD 4,183,0,0,216,3,6,3,69,1,1,0,190,0,0,48,1,211
OAKLANDW. BLOOMFIELD 5,200,0,1,180,4,2,2,71,0,0,1,163,0,1,50,0,195
