precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
DAVIDSON2-NOV,290,4,142,20,88,0,231,2,0,1,1,60,0,2,241,1,367
DAVIDSON2-OCT,18,0,15,2,9,0,38,0,0,0,0,3,0,0,13,0,49
DAVIDSON2-SEP,188,2,72,0,14,0,38,0,0,0,0,5,0,0,23,0,71
DAVIDSON20-1,8,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0,1
DAVIDSON20-2,116,1,177,0,11,0,24,1,0,0,1,21,0,0,75,0,76
DAVIDSON20-3,470,8,464,11,53,1,123,0,1,0,2,48,0,5,164,0,281
DAVIDSON21-1,373,1,87,0,4,0,2,0,0,0,0,2,0,0,3,0,2
DAVIDSON21-2,625,5,105,3,4,0,9,1,0,0,0,3,0,0,92,1,7
DAVIDSON21-3,289,1,81,0,4,0,6,0,0,0,0,3,0,0,6,0,3
DAVIDSON21-4,203,0,164,5,16,0,22,1,0,0,0,33,0,0,111,0,44
DAVIDSON22-1,214,2,124,5,35,0,124,0,0,0,1,35,0,1,152,1,186
DAVIDSON22-2,355,0,261,3,39,0,151,1,1,0,1,50,0,1,206,1,219
DAVIDSON22-3,423,3,276,21,66,0,200,0,0,0,1,88,0,5,252,0,297
DAVIDSON22-4,144,2,115,5,14,0,81,1,0,0,1,25,0,2,95,0,93
DAVIDSON23-1,408,1,209,14,48,1,190,0,0,0,1,140,0,2,409,0,261
DAVIDSON23-2,423,0,266,7,29,2,131,0,0,0,0,76,0,3,211,0,182
DAVIDSON23-3,338,0,222,17,37,0,112,1,0,0,0,88,0,3,271,0,201
DAVIDSON23-4,139,1,51,31,23,0,92,1,0,0,0,180,0,0,430,0,167
DAVIDSON23-5,4,0,1,0,0,0,4,0,0,0,0,4,0,0,16,0,6
DAVIDSON24-1,384,1,335,3,26,1,67,0,0,0,0,80,1,1,242,0,104
DAVIDSON24-2,241,1,172,7,19,0,60,0,0,0,0,44,0,2,155,0,98
DAVIDSON24-3,229,0,104,12,9,0,40,0,0,0,0,63,0,0,141,0,84
DAVIDSON24-4,140,0,111,1,3,1,17,0,0,0,1,18,0,1,67,0,19
DAVIDSON24-5,323,2,154,8,9,0,50,1,0,0,0,72,0,2,181,0,89
DAVIDSON24-6,451,4,196,21,30,1,86,1,0,0,1,173,0,1,313,0,179
DAVIDSON25-1,477,6,194,27,30,0,102,0,0,0,0,179,0,2,371,0,170
DAVIDSON25-2,303,1,196,15,33,1,143,0,0,0,0,116,0,0,329,0,151
DAVIDSON25-3,454,2,203,28,38,1,122,0,0,0,2,137,0,3,324,1,210
DAVIDSON25-4,346,0,244,6,17,1,87,0,0,0,0,69,0,2,210,0,74
DAVIDSON26-1,248,2,91,3,12,0,34,0,0,0,0,5,0,0,30,0,79
DAVIDSON26-2,214,0,141,8,55,1,180,2,0,1,1,51,0,2,282,0,163
DAVIDSON26-3,275,1,240,7,58,0,162,0,0,0,1,52,0,3,182,2,167
DAVIDSON26-4,103,0,93,4,29,0,70,3,0,0,1,31,0,3,130,0,82
DAVIDSON27-1,233,3,152,5,22,0,99,0,0,0,0,15,0,1,96,0,136
DAVIDSON27-2,213,0,159,9,57,0,120,1,0,0,1,26,0,0,182,0,117
DAVIDSON27-3,212,2,195,6,49,0,136,1,0,1,0,34,0,1,165,1,151
DAVIDSON28-1,426,3,139,5,17,1,69,0,0,0,0,6,0,1,48,1,84
DAVIDSON28-2,323,1,107,5,14,0,42,0,0,0,0,6,0,0,18,0,81
DAVIDSON28-3,190,1,71,1,17,0,58,0,0,0,1,8,0,0,22,0,96
DAVIDSON29-1,144,0,58,0,7,0,32,0,0,0,0,11,0,3,24,0,60
DAVIDSON29-2,387,4,135,3,28,1,82,0,0,0,1,18,0,1,50,0,123
DAVIDSON29-3,241,2,53,1,12,0,27,0,0,0,0,3,0,0,19,0,50
DAVIDSON29-4,680,1,222,4,49,1,148,0,0,0,2,47,0,3,105,1,235
DAVIDSON3-APR,170,0,54,2,46,0,109,1,0,0,2,35,0,0,169,0,159
DAVIDSON3-AUG,441,5,311,11,29,0,116,0,0,0,3,31,0,1,79,1,200
DAVIDSON3-DEC,189,1,85,4,31,0,110,0,0,0,0,14,0,0,71,0,104
DAVIDSON3-FEB,124,1,22,0,0,0,6,0,0,0,0,0,0,0,3,0,8
DAVIDSON3-JAN,1588,0,232,2,23,0,51,1,0,0,0,8,0,1,26,0,64
DAVIDSON3-JUL,351,0,213,0,6,0,17,0,0,0,0,9,0,0,32,0,24
DAVIDSON3-JUN,167,0,147,1,8,1,19,0,0,0,0,6,0,0,20,0,18
DAVIDSON3-MAR,164,0,40,1,5,0,18,0,0,0,0,2,0,1,16,0,38
DAVIDSON3-MAY,116,1,122,4,5,0,14,0,0,0,0,8,0,0,18,0,15
DAVIDSON3-NOV,185,0,56,3,21,2,81,0,0,0,0,13,0,0,63,0,98
DAVIDSON3-OCT,225,3,98,3,37,0,140,1,0,0,0,26,0,3,80,0,207
DAVIDSON3-SEP,581,2,177,1,53,0,115,0,1,0,0,24,0,2,69,1,213
DAVIDSON30-1,129,3,84,2,18,0,53,0,0,0,1,13,0,0,22,0,54
DAVIDSON30-2,134,0,84,1,13,0,51,0,0,0,1,9,0,0,31,1,93
DAVIDSON30-3,86,0,49,0,5,0,19,0,0,0,0,7,0,0,14,0,49
DAVIDSON30-4,210,1,110,0,8,0,84,0,0,0,1,10,0,0,37,0,93
DAVIDSON31-1,148,0,88,6,4,0,30,0,0,0,0,7,0,1,22,1,27
DAVIDSON31-2,338,0,128,1,15,0,86,1,0,0,0,24,0,0,76,1,93
DAVIDSON31-3,327,2,207,9,65,2,167,0,1,0,0,48,0,3,242,0,175
DAVIDSON31-4,378,2,159,6,62,1,240,0,0,0,0,42,0,2,242,0,254
DAVIDSON32-1,450,1,175,2,15,0,46,1,0,0,1,8,0,0,32,0,83
DAVIDSON32-2,117,1,32,1,5,0,8,0,0,0,0,1,0,0,10,0,18
DAVIDSON32-3,226,0,130,2,22,0,48,0,0,0,1,10,0,0,46,0,70
DAVIDSON32-4,307,1,102,2,12,0,47,0,0,0,0,4,0,3,32,0,38
DAVIDSON33-1,28,0,13,0,6,0,22,0,0,0,1,6,0,0,18,0,56
DAVIDSON33-2,583,6,209,10,40,1,129,0,0,0,1,19,0,0,102,1,178
DAVIDSON33-3,726,2,206,2,36,0,107,1,0,1,2,25,0,0,73,0,162
DAVIDSON33-4,211,0,59,3,20,0,53,0,0,0,0,16,0,2,45,0,76
DAVIDSON34-1,430,0,174,24,32,0,114,1,0,0,0,158,0,1,395,0,214
DAVIDSON34-2,53,0,31,4,7,0,30,0,0,0,0,39,0,0,90,0,42
DAVIDSON34-3,358,2,147,26,53,1,198,0,0,0,0,196,1,0,502,1,252
DAVIDSON34-4,181,3,109,7,23,0,107,1,0,0,0,66,0,2,172,1,146
DAVIDSON34-5,295,2,167,17,60,0,180,0,0,0,2,110,0,1,394,1,188
DAVIDSON35-1,251,3,147,4,45,0,196,0,0,0,1,55,0,4,198,0,209
DAVIDSON35-2,47,1,53,3,15,0,59,0,0,0,0,13,0,0,39,0,89
DAVIDSON35-3,521,3,368,10,85,0,305,0,0,0,2,129,0,2,442,0,394
DAVIDSON35-4,297,0,191,6,50,1,160,1,0,0,3,69,0,3,256,1,210
DAVIDSON4-APR,441,1,206,22,80,0,284,0,0,0,1,104,0,2,367,0,319
DAVIDSON4-AUG,331,2,112,8,40,1,103,0,0,0,1,16,0,1,50,0,168
DAVIDSON4-DEC,243,1,155,7,36,0,134,0,0,0,0,24,0,2,137,0,168
DAVIDSON4-FEB,321,0,56,0,2,0,4,0,0,0,0,1,0,0,7,0,2
DAVIDSON4-JAN,32,2,33,2,5,0,27,0,0,0,1,3,0,1,19,0,80
DAVIDSON4-JUL,265,0,361,1,14,0,68,1,0,0,0,22,0,2,60,0,70
DAVIDSON4-JUN,374,3,383,4,26,0,50,0,0,0,0,21,0,3,79,0,100
DAVIDSON4-MAR,833,3,165,2,31,1,96,0,0,0,0,13,0,1,71,2,130
DAVIDSON4-MAY,186,0,60,0,0,1,8,0,0,0,0,2,0,0,14,0,6
DAVIDSON4-NOV,164,1,79,3,17,0,89,0,0,0,1,11,0,1,65,1,111
DAVIDSON4-OCT,382,0,132,7,52,1,123,0,0,0,0,15,0,1,90,0,195
DAVIDSON5-DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVIDSON5-FEB,275,0,60,0,5,0,10,0,0,0,0,0,0,1,5,0,17
DAVIDSON5-JAN,560,0,72,0,2,0,3,0,0,0,0,1,0,0,9,0,2
DAVIDSON5-JUL,207,1,258,1,32,0,80,0,0,0,1,22,0,0,82,0,86
DAVIDSON5-JUN,323,0,355,1,3,0,38,1,0,0,0,24,0,1,72,0,36
DAVIDSON5-MAR,830,2,95,1,4,0,15,0,0,0,0,2,0,0,15,0,18
DAVIDSON5-MAY,335,1,256,1,2,0,19,0,0,0,0,23,0,0,46,0,27
DAVIDSON5-OCT,170,1,46,1,13,0,40,0,1,0,0,5,0,0,22,0,54
DAVIDSON6-JUL,226,1,96,2,17,0,46,0,1,0,0,5,0,0,28,0,78
DAVIDSON6-MAR,293,1,71,0,18,0,38,0,0,0,1,4,0,0,17,0,35
DAVIDSON6-OCT,134,0,39,2,17,0,45,0,0,0,2,10,0,0,39,0,79
DAVIDSONABSENTEE/WRITE-INS,604,13,356,65,52,10,145,2,1,0,6,55,1,2,218,1,246
DICKSON1-APR,171,2,62,0,35,0,112,0,1,0,1,12,0,0,59,1,238
DICKSON1-AUG,129,0,60,5,23,0,81,0,0,1,2,9,0,1,51,0,182
DICKSON1-DEC,64,0,43,2,28,0,108,0,0,0,0,9,0,1,52,0,126
DICKSON1-FEB,45,1,26,0,12,0,88,1,0,0,0,7,0,0,39,0,108
DICKSON1-JAN,81,0,38,3,30,0,91,1,0,0,1,12,0,0,61,0,111
DICKSON1-JUL,101,1,43,6,39,0,143,0,1,0,1,20,0,0,63,0,218
DICKSON1-JUN,62,0,25,2,18,2,69,0,0,0,1,5,0,0,42,0,96
DICKSON1-MAR,41,0,13,1,11,1,30,0,1,0,0,3,0,0,17,0,78
DICKSON1-MAY,85,2,55,0,38,0,148,0,0,0,1,12,0,1,60,0,182
DICKSON1-NOV,138,1,49,6,51,1,115,1,0,1,1,12,0,1,61,0,153
DICKSON1-OCT,104,0,51,6,48,0,151,1,0,0,1,23,0,0,107,0,235
DICKSON1-SEP,134,3,42,6,55,1,116,0,0,1,0,16,0,0,90,0,221
DICKSON2-DEC,65,1,45,2,31,0,111,0,0,0,1,17,0,1,62,0,177
DICKSON2-FEB,57,1,27,5,29,0,65,0,0,0,0,10,0,0,23,0,147
DICKSON2-JAN,59,3,17,3,14,1,94,0,0,0,0,10,0,2,40,0,108
DICKSON2-JUN,61,1,52,4,34,0,142,0,0,0,1,15,0,1,56,1,176
DICKSON2-MAR,100,0,48,2,24,0,101,0,0,0,0,6,1,0,41,0,175
DYERB1- NEWBERN,77,1,21,1,26,0,154,1,0,0,2,13,0,1,71,0,219
DYERF1- DYER CO CENTRAL,173,1,12,0,3,0,5,0,0,0,0,2,0,0,6,0,33
DYERG1- COURTHOUSE,94,2,36,5,29,1,101,1,0,0,2,11,0,1,85,0,171
DYERH1- E. DYERSBURG,95,0,34,7,26,0,108,1,0,0,1,11,0,0,60,0,183
DYERJ1- NORTH DYERSBURG,85,1,39,10,60,0,142,1,0,1,2,40,0,0,214,0,313
GIBSON10 TRENTON,174,5,40,2,22,2,85,0,0,0,1,8,1,0,56,1,131
GIBSON11-4 GANN,8,0,11,2,30,0,60,0,0,0,0,7,0,1,33,0,83
GIBSON3 HUMBOLDT PARK,43,2,19,3,55,0,90,1,0,1,1,12,0,0,94,1,154
GIBSON6 HUMBOLDT ARMORY,45,0,9,2,7,0,11,0,0,0,3,0,0,1,11,0,28
GRAINGER1-APR,17,0,15,1,6,1,34,0,0,0,0,2,0,1,38,1,119
GRAINGER1-FEB,23,1,7,3,4,1,27,0,0,0,1,7,1,0,29,0,96
GRAINGER1-JAN,24,0,21,11,14,0,93,2,1,0,2,9,0,1,53,0,189
GRAINGER1-MAR,39,1,15,9,24,0,118,0,0,0,1,11,0,1,51,0,174
GRAINGER1-MAY,40,0,15,1,14,0,70,0,0,0,3,7,0,0,57,1,175
GRAINGER2-APR,24,1,23,4,13,1,73,2,0,0,1,6,0,0,46,0,167
GRAINGER2-FEB,44,0,19,8,25,0,97,0,0,0,0,21,0,0,86,0,231
GRAINGER2-JAN,25,1,12,10,18,2,95,0,1,0,0,11,1,2,90,0,214
GRAINGER2-MAR,24,0,15,4,25,0,114,1,0,0,1,19,0,2,59,1,202
GRAINGER2-MAY,23,0,22,2,28,2,73,2,0,0,4,18,0,0,48,1,203
GRUNDYPAPER BALLOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAMBLEN1-APR,53,1,31,2,32,0,58,1,0,1,0,8,0,3,50,0,149
HAMBLEN1-AUG,75,2,35,24,77,1,213,0,1,0,8,31,1,4,187,0,468
HAMBLEN1-DEC,64,3,88,12,90,0,218,2,0,0,4,42,2,1,183,1,425
HAMBLEN1-FEB,77,1,44,9,36,0,88,0,0,2,3,11,0,0,69,0,167
HAMBLEN1-JAN,67,0,47,11,28,2,78,1,1,0,1,23,0,3,70,0,146
HAMBLEN1-JUL,76,2,49,12,75,2,165,0,1,1,3,42,1,2,152,1,462
HAMBLEN1-JUN,75,1,42,13,41,3,142,0,0,1,4,32,1,1,118,1,254
HAMBLEN1-MAR,72,0,50,2,40,0,107,1,0,1,4,28,0,0,96,0,229
HAMBLEN1-MAY,91,1,46,19,78,3,165,2,2,1,3,71,0,0,239,1,340
HAMBLEN1-NOV,34,3,17,8,10,1,79,0,0,0,1,12,1,1,49,0,159
HAMBLEN1-OCT,19,1,15,3,22,2,103,0,2,0,5,19,0,4,68,0,168
HAMBLEN1-SEP,26,2,19,5,27,1,75,0,1,0,3,15,0,1,69,0,218
HAMBLEN13-1,76,2,55,11,90,1,248,1,0,0,8,56,3,2,193,1,433
HAMBLEN14-1,56,0,61,9,96,2,212,1,1,0,4,44,0,0,193,0,354
HAMBLEN2-NOV,15,0,22,0,13,0,38,0,2,0,4,4,0,2,30,0,146
HAMBLEN2-OCT,34,0,40,14,46,1,139,0,0,0,8,31,1,3,119,0,290
HAMBLEN2-SEP,41,0,22,7,28,1,103,0,0,0,5,23,0,2,70,0,283
HAYWOOD1-APR,120,0,16,5,19,1,67,0,0,0,1,13,0,0,50,0,84
HAYWOOD1-AUG,144,2,10,2,11,0,33,0,0,0,0,6,1,0,14,0,73
HAYWOOD1-FEB,96,0,14,1,7,0,36,0,0,0,0,2,1,0,17,0,42
HAYWOOD1-JAN,134,0,10,0,1,0,5,0,0,0,1,3,0,0,6,0,9
HAYWOOD1-JUL,133,1,16,1,8,0,40,0,0,0,0,1,0,0,15,0,45
HAYWOOD1-JUN,88,0,11,2,14,1,67,0,0,0,2,3,0,0,17,0,107
HAYWOOD1-MAR,98,1,17,0,2,0,23,0,0,0,1,2,0,0,4,0,21
HAYWOOD1-MAY,82,0,10,2,14,0,78,0,0,0,0,8,0,0,30,0,94
HAYWOOD1-OCT,166,0,24,4,18,2,69,0,0,0,1,12,1,2,51,0,78
HAYWOOD1-SEP,48,0,4,0,1,0,14,0,0,0,0,1,0,0,9,0,13
HAYWOOD2-SEP,88,0,11,0,11,0,43,0,0,0,0,4,0,0,11,0,47
HUMPHREYS4-5 SAFE ROOM,101,0,42,1,37,0,82,1,0,0,0,16,0,0,55,0,172
JACKSON1-APR,30,1,19,0,12,0,51,0,0,0,0,3,0,0,12,0,65
JACKSON1-FEB,19,0,19,0,8,0,32,0,0,0,2,7,0,0,8,0,46
JACKSON1-JAN,32,1,17,0,7,1,30,0,0,0,0,4,0,2,25,0,51
JACKSON1-JUN,33,1,16,2,4,0,24,0,0,0,0,7,0,0,23,0,53
JACKSON1-MAR,38,1,19,0,6,0,42,0,0,0,0,2,0,0,10,0,45
JACKSON1-MAY,41,0,10,1,12,0,26,0,0,0,0,5,0,0,24,0,62
JACKSON2-APR,20,0,12,0,13,2,47,0,0,0,2,2,0,0,16,0,79
JACKSON2-FEB,41,1,10,1,6,1,19,0,0,0,0,3,0,0,10,0,56
JACKSON2-JAN,45,1,17,1,4,0,26,0,0,0,0,1,0,0,12,0,29
JACKSON2-JUN,29,0,14,2,5,0,65,0,0,0,0,3,0,0,21,0,83
JACKSON2-MAR,29,0,18,0,4,0,49,0,0,0,1,10,0,0,20,0,62
JACKSON2-MAY,50,1,25,1,11,1,39,0,0,0,1,7,0,0,11,0,82
JEFFERSON3 WHITE PINE-1,77,1,54,16,114,2,268,4,3,0,7,62,0,8,200,1,624
JEFFERSON3 WHITE PINE-2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,7
JEFFERSON9 TALBOTT SCHOOL-1,36,1,29,14,25,1,145,2,0,1,2,20,0,0,78,0,244
JEFFERSON9 TALBOTT SCHOOL-2,15,1,18,3,19,1,104,0,1,0,3,7,0,0,61,2,123
JOHNSON7 HIGH SCHOOL,53,2,30,9,22,1,75,1,0,0,2,13,0,2,95,1,181
KNOX19E SOAR,90,0,23,0,1,1,10,0,0,0,0,3,0,1,12,0,22
KNOX19W SOAR,50,0,19,1,2,0,13,0,0,0,0,4,0,0,7,0,20
KNOX65 CONCORD,468,1,344,62,205,2,603,6,0,3,6,304,3,6,1096,2,917
KNOX69N A. L. LOTTS,353,2,294,41,131,2,387,0,0,0,6,221,0,4,745,0,529
KNOX69S BLUEGRASS,369,1,336,52,144,6,454,6,2,0,3,277,2,4,971,0,664
KNOX70 BALL CAMP,419,4,379,39,221,3,630,2,0,0,10,185,0,11,684,4,769
KNOX90 BONNY KATE,155,1,126,19,111,1,251,3,0,2,4,48,0,5,364,1,417
LEWIS1-APR,27,0,13,0,12,0,65,1,0,0,0,6,0,0,22,0,114
LEWIS1-AUG,16,1,13,1,13,3,35,0,0,0,0,3,0,1,15,0,72
LEWIS1-FEB,9,0,15,2,11,0,48,0,0,0,0,6,0,0,22,0,90
LEWIS1-JAN,33,1,107,1,14,1,48,0,0,0,0,3,0,1,17,0,84
LEWIS1-JUL,21,1,12,1,18,0,55,0,0,0,0,2,0,2,22,0,84
LEWIS1-JUN,40,0,16,3,8,0,40,2,0,0,0,1,0,1,23,0,88
LEWIS1-MAR,29,0,18,2,19,0,56,0,0,0,1,1,0,0,19,0,102
LEWIS1-MAY,17,0,22,2,17,0,54,0,0,0,0,3,0,0,25,0,114
LEWIS1-SEP,40,2,12,0,13,0,28,0,0,1,1,2,0,0,11,0,61
